province,census_division_name,city,odhf_facility_type,facilities
qc,Les Moulins,,Nursing and residential care facilities,3
qc,Mirabel,,Nursing and residential care facilities,1
qc,Manicouagan,,Nursing and residential care facilities,3
bc,Unknown,,Nursing and residential care facilities,84
sk,Division No.  1,,Hospitals,4
qc,L'Île-d'Orléans,,Nursing and residential care facilities,1
qc,Les Sources,,Nursing and residential care facilities,1
qc,Memphrémagog,,Hospitals,1
on,Prescott and Russell,,Ambulatory health care services,7
ns,Antigonish,,Nursing and residential care facilities,3
sk,Division No.  3,,Hospitals,2
on,Lennox and Addington,,Hospitals,1
bc,Sunshine Coast,,Ambulatory health care services,1
nl,Unknown,,Nursing and residential care facilities,21
on,Timiskaming,,Hospitals,3
qc,La Côte-de-Gaspé,,Nursing and residential care facilities,1
ns,Unknown,,Nursing and residential care facilities,1
qc,Joliette,,Hospitals,2
qc,Portneuf,,Hospitals,2
sk,Division No.  6,,Ambulatory health care services,44
on,Simcoe,,Nursing and residential care facilities,68
ns,Cape Breton,,Hospitals,5
nl,Division No. 10,,Hospitals,3
qc,Thérèse-De Blainville,,Nursing and residential care facilities,7
qc,La Vallée-de-l'Or,,Hospitals,5
qc,Les Collines-de-l'Outaouais,,Ambulatory health care services,5
on,Frontenac,,Hospitals,4
ns,Antigonish,,Hospitals,1
sk,Division No.  2,,Hospitals,3
qc,Communauté maritime des Îles-de-la-Madeleine,,Ambulatory health care services,5
ns,Shelburne,,Hospitals,1
ns,Halifax,,Ambulatory health care services,2
qc,Le Rocher-Percé,,Hospitals,1
sk,Division No.  2,,Nursing and residential care facilities,4
nl,Division No.  7,,Ambulatory health care services,4
bc,Comox Valley,,Ambulatory health care services,2
mb,Unknown,,Nursing and residential care facilities,36
qc,La Rivière-du-Nord,,Hospitals,2
nb,Victoria,,Hospitals,3
qc,Nord-du-Québec,,Nursing and residential care facilities,10
nb,Restigouche,,Hospitals,3
qc,Drummond,,Nursing and residential care facilities,5
yt,Yukon,,Hospitals,3
qc,Les Pays-d'en-Haut,,Nursing and residential care facilities,4
bc,Kitimat-Stikine,,Nursing and residential care facilities,6
bc,Sunshine Coast,,Nursing and residential care facilities,7
qc,Longueuil,,Ambulatory health care services,18
nl,Unknown,,Hospitals,3
on,Kawartha Lakes,,Nursing and residential care facilities,13
qc,Antoine-Labelle,,Hospitals,3
ab,Division No. 15,,Hospitals,4
on,Thunder Bay,,Hospitals,7
qc,Le Haut-Richelieu,,Hospitals,6
ns,Shelburne,,Nursing and residential care facilities,4
qc,Témiscouata,,Nursing and residential care facilities,3
mb,Division No. 13,,Ambulatory health care services,6
qc,Témiscouata,,Ambulatory health care services,4
mb,Division No. 15,,Hospitals,6
ab,Division No.  5,,Nursing and residential care facilities,1
on,Parry Sound,,Ambulatory health care services,10
mb,Division No.  9,,Hospitals,2
qc,L'Assomption,,Hospitals,3
qc,Mékinac,,Nursing and residential care facilities,2
on,Prince Edward,,Ambulatory health care services,3
mb,Division No.  6,,Nursing and residential care facilities,1
qc,Lac-Saint-Jean-Est,,Nursing and residential care facilities,3
qc,La Matanie,,Hospitals,1
on,Waterloo,,Nursing and residential care facilities,56
qc,Longueuil,,Hospitals,18
qc,Sept-Rivières--Caniapiscau,,Nursing and residential care facilities,4
qc,Minganie--Le Golfe-du-Saint-Laurent,,Hospitals,2
qc,Roussillon,,Hospitals,3
bc,Kootenay Boundary,,Hospitals,2
qc,Sherbrooke,,Nursing and residential care facilities,9
qc,La Haute-Gaspésie,,Hospitals,1
on,Dufferin,,Hospitals,1
mb,Division No.  1,,Ambulatory health care services,2
mb,Division No.  3,,Ambulatory health care services,1
qc,Argenteuil,,Ambulatory health care services,2
on,Kenora,,Hospitals,8
qc,La Matanie,,Ambulatory health care services,4
on,Rainy River,,Hospitals,3
qc,Abitibi-Ouest,,Nursing and residential care facilities,3
sk,Division No.  8,,Nursing and residential care facilities,5
on,Sudbury,,Hospitals,1
ab,Division No. 11,,Nursing and residential care facilities,2
qc,Kamouraska,,Ambulatory health care services,3
qc,Rouville,,Nursing and residential care facilities,2
bc,Sunshine Coast,,Hospitals,1
sk,Division No. 11,,Ambulatory health care services,13
bc,Skeena-Queen Charlotte,,Hospitals,5
on,Haldimand-Norfolk,,Nursing and residential care facilities,19
qc,Les Maskoutains,,Hospitals,3
nb,Queens,,Nursing and residential care facilities,3
ab,Division No.  1,,Hospitals,3
bc,Fraser Valley,,Ambulatory health care services,14
sk,Division No.  7,,Hospitals,4
bc,Squamish-Lillooet,,Ambulatory health care services,4
bc,Kitimat-Stikine,,Hospitals,3
pe,Kings,,Ambulatory health care services,5
qc,Les Jardins-de-Napierville,,Nursing and residential care facilities,1
sk,Division No.  6,,Nursing and residential care facilities,5
on,Toronto,,Nursing and residential care facilities,206
qc,Montmagny,,Hospitals,3
qc,Roussillon,,Nursing and residential care facilities,7
ab,Division No.  2,,Hospitals,8
nb,York,,Hospitals,2
qc,Témiscamingue,,Ambulatory health care services,9
qc,Thérèse-De Blainville,,Hospitals,3
on,Essex,,Nursing and residential care facilities,48
qc,Bécancour,,Hospitals,1
qc,Brome-Missisquoi,,Ambulatory health care services,10
on,Wellington,,Ambulatory health care services,17
mb,Division No. 14,,Ambulatory health care services,3
qc,Les Laurentides,,Hospitals,1
mb,Unknown,,Hospitals,11
qc,Rouyn-Noranda,,Nursing and residential care facilities,3
qc,Joliette,,Ambulatory health care services,4
qc,Charlevoix-Est,,Hospitals,1
qc,Montcalm,,Ambulatory health care services,2
on,Dufferin,,Nursing and residential care facilities,9
on,Cochrane,,Ambulatory health care services,25
qc,Arthabaska,,Ambulatory health care services,12
sk,Division No. 18,,Hospitals,3
bc,Northern Rockies,,Ambulatory health care services,1
mb,Division No. 21,,Ambulatory health care services,2
qc,Nicolet-Yamaska,,Nursing and residential care facilities,2
mb,Division No. 15,,Ambulatory health care services,1
yt,Unknown,,Ambulatory health care services,4
on,"Stormont, Dundas and Glengarry",,Hospitals,4
ns,Guysborough,,Nursing and residential care facilities,3
mb,Division No.  8,,Hospitals,3
ns,Cumberland,,Nursing and residential care facilities,9
on,Essex,,Ambulatory health care services,26
bc,North Okanagan,,Nursing and residential care facilities,29
ns,Victoria,,Hospitals,2
sk,Division No. 10,,Ambulatory health care services,11
qc,Le Domaine-du-Roy,,Hospitals,1
pe,Prince,,Hospitals,4
nl,Division No.  4,,Hospitals,1
bc,Nanaimo,,Ambulatory health care services,4
bc,Squamish-Lillooet,,Hospitals,2
qc,Sept-Rivières--Caniapiscau,,Hospitals,6
ab,Division No.  6,,Hospitals,12
ns,Yarmouth,,Hospitals,1
qc,Maria-Chapdelaine,,Ambulatory health care services,4
qc,L'Île-d'Orléans,,Ambulatory health care services,2
qc,Pontiac,,Ambulatory health care services,5
ns,Guysborough,,Hospitals,2
sk,Division No.  7,,Nursing and residential care facilities,3
ns,Pictou,,Nursing and residential care facilities,7
sk,Division No.  7,,Ambulatory health care services,5
on,Greater Sudbury / Grand Sudbury,,Hospitals,3
qc,Sherbrooke,,Hospitals,8
bc,Comox Valley,,Nursing and residential care facilities,9
qc,Joliette,,Nursing and residential care facilities,5
nb,Saint John,,Nursing and residential care facilities,7
qc,La Matanie,,Nursing and residential care facilities,2
qc,Montréal,,Ambulatory health care services,67
qc,Le Haut-Richelieu,,Nursing and residential care facilities,6
qc,Brome-Missisquoi,,Hospitals,2
on,Middlesex,,Hospitals,9
nl,Division No.  8,,Hospitals,4
qc,Le Haut-Saint-François,,Nursing and residential care facilities,2
on,Elgin,,Ambulatory health care services,11
on,Waterloo,,Hospitals,3
sk,Division No.  2,,Ambulatory health care services,5
ab,Division No. 19,,Hospitals,8
on,Grey,,Ambulatory health care services,14
bc,Squamish-Lillooet,,Nursing and residential care facilities,5
qc,Beauce-Sartigan,,Hospitals,2
nl,Division No. 10,,Ambulatory health care services,1
nb,Charlotte,,Hospitals,2
bc,Peace River,,Nursing and residential care facilities,11
qc,Abitibi-Ouest,,Hospitals,1
mb,Division No. 12,,Ambulatory health care services,1
ns,Yarmouth,,Nursing and residential care facilities,5
bc,Cowichan Valley,,Hospitals,3
qc,Bécancour,,Ambulatory health care services,3
qc,Memphrémagog,,Nursing and residential care facilities,1
qc,Charlevoix,,Hospitals,2
on,Toronto,,Hospitals,36
on,Lambton,,Ambulatory health care services,17
qc,Rouville,,Ambulatory health care services,3
qc,Les Appalaches,,Ambulatory health care services,6
qc,Le Val-Saint-François,,Ambulatory health care services,4
on,York,,Ambulatory health care services,30
mb,Division No. 23,,Hospitals,4
on,Muskoka,,Ambulatory health care services,7
ns,Hants,,Nursing and residential care facilities,8
ns,Colchester,,Ambulatory health care services,1
nb,York,,Nursing and residential care facilities,6
sk,Unknown,,Hospitals,15
on,Lambton,,Nursing and residential care facilities,17
qc,Charlevoix-Est,,Nursing and residential care facilities,3
qc,Rimouski-Neigette,,Hospitals,2
sk,Division No.  3,,Ambulatory health care services,5
on,Rainy River,,Ambulatory health care services,5
on,Brant,,Hospitals,1
bc,Thompson-Nicola,,Hospitals,4
ab,Unknown,,Ambulatory health care services,42
qc,La Vallée-du-Richelieu,,Nursing and residential care facilities,8
bc,Skeena-Queen Charlotte,,Ambulatory health care services,1
bc,Cowichan Valley,,Ambulatory health care services,3
on,Kawartha Lakes,,Hospitals,1
qc,Lévis,,Ambulatory health care services,8
ns,Colchester,,Hospitals,2
ns,Victoria,,Nursing and residential care facilities,2
qc,Bonaventure,,Ambulatory health care services,2
qc,Lotbinière,,Nursing and residential care facilities,4
mb,Division No.  4,,Ambulatory health care services,1
qc,Le Saguenay-et-son-Fjord,,Nursing and residential care facilities,13
on,Kenora,,Nursing and residential care facilities,7
qc,Matawinie,,Hospitals,1
on,Cochrane,,Hospitals,12
on,Prince Edward,,Nursing and residential care facilities,10
bc,North Okanagan,,Ambulatory health care services,2
pe,Queens,,Ambulatory health care services,15
bc,Unknown,,Hospitals,6
bc,Powell River,,Hospitals,1
qc,La Haute-Côte-Nord,,Nursing and residential care facilities,2
qc,Rivière-du-Loup,,Ambulatory health care services,7
bc,North Okanagan,,Hospitals,1
qc,Rimouski-Neigette,,Nursing and residential care facilities,3
on,Prince Edward,,Hospitals,1
on,Muskoka,,Hospitals,2
bc,Fraser-Fort George,,Nursing and residential care facilities,18
bc,Central Kootenay,,Ambulatory health care services,3
qc,Beauce-Sartigan,,Ambulatory health care services,4
qc,Montcalm,,Nursing and residential care facilities,3
pe,Prince,,Nursing and residential care facilities,16
qc,La Haute-Côte-Nord,,Ambulatory health care services,2
qc,L'Érable,,Nursing and residential care facilities,5
qc,Laval,,Nursing and residential care facilities,28
bc,Alberni-Clayoquot,,Hospitals,2
ab,Division No. 18,,Hospitals,3
nb,Sunbury,,Hospitals,1
sk,Division No. 16,,Nursing and residential care facilities,4
on,York,,Hospitals,5
bc,Powell River,,Nursing and residential care facilities,13
qc,Rimouski-Neigette,,Ambulatory health care services,7
sk,Division No.  9,,Hospitals,3
qc,Maskinongé,,Hospitals,1
qc,Kamouraska,,Nursing and residential care facilities,3
qc,La Vallée-de-la-Gatineau,,Hospitals,2
on,Ottawa,,Hospitals,10
bc,Columbia-Shuswap,,Ambulatory health care services,4
on,Northumberland,,Ambulatory health care services,6
qc,Pierre-De Saurel,,Nursing and residential care facilities,6
on,Kawartha Lakes,,Ambulatory health care services,3
qc,Sept-Rivières--Caniapiscau,,Ambulatory health care services,7
nl,Division No.  2,,Hospitals,1
on,Sudbury,,Nursing and residential care facilities,3
qc,Marguerite-D'Youville,,Nursing and residential care facilities,1
bc,Fraser-Fort George,,Ambulatory health care services,5
qc,Marguerite-D'Youville,,Ambulatory health care services,6
on,Oxford,,Ambulatory health care services,8
qc,Bellechasse,,Ambulatory health care services,5
on,Bruce,,Nursing and residential care facilities,17
on,Chatham-Kent,,Nursing and residential care facilities,19
qc,Papineau,,Ambulatory health care services,3
qc,Beauharnois-Salaberry,,Ambulatory health care services,6
bc,Okanagan-Similkameen,,Nursing and residential care facilities,19
qc,Le Rocher-Percé,,Nursing and residential care facilities,2
qc,La Haute-Yamaska,,Hospitals,4
on,Greater Sudbury / Grand Sudbury,,Ambulatory health care services,24
mb,Division No. 13,,Hospitals,1
qc,La Côte-de-Beaupré,,Hospitals,1
on,Kenora,,Ambulatory health care services,29
qc,Lotbinière,,Ambulatory health care services,3
qc,Portneuf,,Nursing and residential care facilities,6
qc,La Rivière-du-Nord,,Nursing and residential care facilities,17
bc,Nanaimo,,Hospitals,1
ab,Division No. 14,,Hospitals,2
bc,Central Okanagan,,Hospitals,1
qc,La Haute-Yamaska,,Nursing and residential care facilities,8
ns,Hants,,Hospitals,1
on,Ottawa,,Ambulatory health care services,58
ns,Queens,,Nursing and residential care facilities,3
nl,Division No.  1,,Nursing and residential care facilities,1
yt,Yukon,,nursing and residential care facilities,2
on,Durham,,Nursing and residential care facilities,47
nl,Division No.  2,,Ambulatory health care services,1
qc,Nord-du-Québec,,Ambulatory health care services,31
mb,Division No.  1,,Hospitals,3
on,Timiskaming,,Nursing and residential care facilities,7
on,Perth,,Nursing and residential care facilities,15
on,Leeds and Grenville,,Hospitals,4
on,Unknown,,Hospitals,7
qc,Bécancour,,Nursing and residential care facilities,3
on,Manitoulin,,Nursing and residential care facilities,3
on,Peel,,Ambulatory health care services,32
sk,Division No.  1,,Nursing and residential care facilities,6
qc,Vaudreuil-Soulanges,,Hospitals,1
mb,Division No. 17,,Hospitals,4
sk,Division No.  5,,Hospitals,7
qc,Le Granit,,Hospitals,2
sk,Unknown,,Ambulatory health care services,19
qc,Roussillon,,Ambulatory health care services,6
ns,Kings,,Nursing and residential care facilities,9
on,Hamilton,,Ambulatory health care services,41
qc,Vaudreuil-Soulanges,,Nursing and residential care facilities,6
bc,Skeena-Queen Charlotte,,Nursing and residential care facilities,1
qc,Robert-Cliche,,Ambulatory health care services,2
qc,La Côte-de-Beaupré,,Ambulatory health care services,1
on,Niagara,,Hospitals,8
sk,Division No. 12,,Nursing and residential care facilities,1
ns,Lunenburg,,Hospitals,2
qc,Nicolet-Yamaska,,Ambulatory health care services,4
on,Leeds and Grenville,,Ambulatory health care services,12
qc,Lac-Saint-Jean-Est,,Hospitals,3
sk,Division No. 14,,Nursing and residential care facilities,2
nu,Qikiqtaaluk,,Hospitals,1
on,Brant,,Nursing and residential care facilities,22
nt,Region 4,,Ambulatory health care services,1
ab,Division No. 10,,Hospitals,7
yt,Yukon,,Nursing and residential care facilities,4
qc,Abitibi-Ouest,,Ambulatory health care services,7
qc,Le Haut-Richelieu,,Ambulatory health care services,9
sk,Division No.  6,,Hospitals,6
on,Huron,,Ambulatory health care services,11
yt,Yukon,,Ambulatory health care services,20
bc,Peace River,,Hospitals,3
qc,Pierre-De Saurel,,Ambulatory health care services,3
nb,Kent,,Hospitals,1
qc,Le Haut-Saint-Laurent,,Hospitals,1
sk,Division No. 17,,Nursing and residential care facilities,4
on,Thunder Bay,,Nursing and residential care facilities,18
bc,Bulkley-Nechako,,Nursing and residential care facilities,6
bc,Comox Valley,,Hospitals,2
bc,Peace River,,Ambulatory health care services,4
sk,Division No. 18,,Nursing and residential care facilities,3
on,Middlesex,,Nursing and residential care facilities,51
qc,Brome-Missisquoi,,Nursing and residential care facilities,4
bc,Capital,,Ambulatory health care services,24
nb,Carleton,,Nursing and residential care facilities,3
qc,Lac-Saint-Jean-Est,,Ambulatory health care services,7
ab,Division No.  8,,Nursing and residential care facilities,1
qc,Sherbrooke,,Ambulatory health care services,10
sk,Division No. 12,,Ambulatory health care services,1
on,Toronto,,Ambulatory health care services,151
sk,Division No. 14,,Hospitals,8
on,Huron,,Hospitals,6
bc,Greater Vancouver,,Hospitals,24
qc,La Vallée-de-l'Or,,Ambulatory health care services,3
bc,Fraser Valley,,Nursing and residential care facilities,60
qc,La Tuque,,Ambulatory health care services,1
on,Renfrew,,Ambulatory health care services,17
mb,Division No. 23,,Ambulatory health care services,1
sk,Division No.  1,,Ambulatory health care services,8
qc,Maria-Chapdelaine,,Hospitals,1
on,Unknown,,Ambulatory health care services,28
qc,Argenteuil,,Hospitals,2
bc,Okanagan-Similkameen,,Ambulatory health care services,5
sk,Division No.  4,,Ambulatory health care services,3
qc,D'Autray,,Nursing and residential care facilities,4
on,Renfrew,,Nursing and residential care facilities,19
on,Chatham-Kent,,Hospitals,2
qc,La Côte-de-Gaspé,,Ambulatory health care services,4
on,Grey,,Hospitals,5
nu,Kivalliq,,Hospitals,1
qc,Portneuf,,Ambulatory health care services,8
nt,Region 6,,Hospitals,1
bc,Cariboo,,Nursing and residential care facilities,10
qc,Longueuil,,Nursing and residential care facilities,25
on,Muskoka,,Nursing and residential care facilities,12
on,Manitoulin,,Ambulatory health care services,9
ab,Division No. 11,,Hospitals,19
on,Rainy River,,Nursing and residential care facilities,3
on,Lanark,,Ambulatory health care services,4
qc,Communauté maritime des Îles-de-la-Madeleine,,Nursing and residential care facilities,2
sk,Division No. 15,,Hospitals,5
bc,Thompson-Nicola,,Nursing and residential care facilities,33
nl,Division No.  3,,Ambulatory health care services,3
on,"Stormont, Dundas and Glengarry",,Ambulatory health care services,11
bc,East Kootenay,,Hospitals,3
ns,Unknown,,Hospitals,1
pe,Kings,,Nursing and residential care facilities,7
qc,Gatineau,,Hospitals,13
qc,La Mitis,,Ambulatory health care services,5
qc,Nord-du-Québec,,Hospitals,9
qc,Lévis,,Hospitals,6
qc,Avignon,,Hospitals,1
ab,Division No.  3,,Hospitals,4
qc,Antoine-Labelle,,Nursing and residential care facilities,4
qc,Laval,,Ambulatory health care services,13
mb,Division No. 18,,Hospitals,4
qc,Le Granit,,Ambulatory health care services,4
qc,Mékinac,,Ambulatory health care services,2
bc,Strathcona,,Hospitals,1
sk,Division No. 11,,Nursing and residential care facilities,21
on,Hastings,,Ambulatory health care services,19
mb,Division No. 11,,Hospitals,10
qc,Les Etchemins,,Ambulatory health care services,2
nb,Albert,,Nursing and residential care facilities,3
bc,Northern Rockies,,Hospitals,1
ns,Halifax,,Hospitals,12
ns,Digby,,Nursing and residential care facilities,4
bc,Strathcona,,Ambulatory health care services,5
qc,La Jacques-Cartier,,Ambulatory health care services,1
on,Essex,,Hospitals,5
on,Lanark,,Nursing and residential care facilities,17
qc,Les Sources,,Hospitals,1
qc,La Tuque,,Nursing and residential care facilities,3
qc,Laval,,Hospitals,9
bc,Capital,,Hospitals,6
bc,Okanagan-Similkameen,,Hospitals,3
ns,Inverness,,Hospitals,2
nt,Region 1,,Hospitals,1
qc,Les Laurentides,,Nursing and residential care facilities,5
sk,Division No. 11,,Hospitals,9
bc,Central Kootenay,,Hospitals,3
on,Unknown,,Nursing and residential care facilities,8
mb,Division No. 14,,Hospitals,3
qc,Témiscamingue,,Nursing and residential care facilities,3
qc,Les Maskoutains,,Ambulatory health care services,7
qc,Le Granit,,Nursing and residential care facilities,2
qc,Antoine-Labelle,,Ambulatory health care services,5
qc,La Haute-Gaspésie,,Ambulatory health care services,5
ns,Inverness,,Nursing and residential care facilities,4
bc,East Kootenay,,Nursing and residential care facilities,12
on,Haldimand-Norfolk,,Ambulatory health care services,6
mb,Division No.  2,,Nursing and residential care facilities,1
on,"Stormont, Dundas and Glengarry",,Nursing and residential care facilities,25
qc,Charlevoix,,Ambulatory health care services,6
qc,Le Val-Saint-François,,Nursing and residential care facilities,3
on,Niagara,,Ambulatory health care services,31
nl,Unknown,,Ambulatory health care services,9
ns,Halifax,,Nursing and residential care facilities,26
ns,Lunenburg,,Nursing and residential care facilities,8
qc,Maria-Chapdelaine,,Nursing and residential care facilities,2
sk,Division No. 17,,Ambulatory health care services,7
on,Parry Sound,,Nursing and residential care facilities,5
nb,Unknown,,Nursing and residential care facilities,1
qc,Montréal,,Nursing and residential care facilities,163
qc,Pierre-De Saurel,,Hospitals,2
qc,Francheville,,Ambulatory health care services,15
ns,Queens,,Hospitals,1
mb,Division No.  4,,Hospitals,6
qc,Les Moulins,,Hospitals,2
ns,Digby,,Hospitals,1
on,Renfrew,,Hospitals,5
on,Frontenac,,Ambulatory health care services,18
qc,La Matapédia,,Ambulatory health care services,4
sk,Division No. 16,,Ambulatory health care services,10
on,Halton,,Hospitals,4
ab,Division No.  4,,Hospitals,3
ab,Division No. 10,,Nursing and residential care facilities,2
ns,Cape Breton,,Nursing and residential care facilities,17
sk,Division No. 10,,Hospitals,3
on,Oxford,,Hospitals,3
on,Hastings,,Nursing and residential care facilities,24
on,Haliburton,,Hospitals,2
on,Peterborough,,Hospitals,1
qc,L'Assomption,,Ambulatory health care services,6
mb,Division No.  6,,Hospitals,2
qc,Les Sources,,Ambulatory health care services,2
ns,Cumberland,,Hospitals,4
qc,La Matapédia,,Hospitals,2
on,Durham,,Hospitals,8
on,Hastings,,Hospitals,3
qc,Le Rocher-Percé,,Ambulatory health care services,5
ab,Division No.  8,,Hospitals,7
pe,Kings,,Hospitals,2
on,Middlesex,,Ambulatory health care services,32
sk,Division No. 15,,Nursing and residential care facilities,9
ns,Richmond,,Nursing and residential care facilities,2
qc,Manicouagan,,Ambulatory health care services,5
qc,Kamouraska,,Hospitals,2
on,Thunder Bay,,Ambulatory health care services,41
qc,Matawinie,,Ambulatory health care services,4
ns,Colchester,,Nursing and residential care facilities,9
qc,Le Haut-Saint-Laurent,,Ambulatory health care services,3
nt,Region 5,,Hospitals,2
bc,Central Coast,,Ambulatory health care services,2
nl,Division No.  6,,Ambulatory health care services,3
on,York,,Nursing and residential care facilities,63
qc,Les Jardins-de-Napierville,,Ambulatory health care services,3
qc,Québec,,Hospitals,24
qc,Beauharnois-Salaberry,,Nursing and residential care facilities,8
nt,Unknown,,Hospitals,1
qc,Les Appalaches,,Nursing and residential care facilities,6
qc,D'Autray,,Ambulatory health care services,4
qc,Québec,,Nursing and residential care facilities,45
qc,La Vallée-de-la-Gatineau,,Ambulatory health care services,5
on,Brant,,Ambulatory health care services,14
on,Nipissing,,Nursing and residential care facilities,11
qc,La Nouvelle-Beauce,,Nursing and residential care facilities,3
qc,Arthabaska,,Hospitals,1
on,Hamilton,,Hospitals,9
on,Simcoe,,Hospitals,6
nl,Division No.  9,,Hospitals,4
qc,Les Appalaches,,Hospitals,1
qc,Coaticook,,Hospitals,1
bc,Greater Vancouver,,Nursing and residential care facilities,403
on,Nipissing,,Ambulatory health care services,16
qc,Les Collines-de-l'Outaouais,,Hospitals,2
nb,Madawaska,,Hospitals,1
nb,Madawaska,,Nursing and residential care facilities,3
nl,Division No.  7,,Hospitals,3
qc,Francheville,,Hospitals,5
qc,Les Basques,,Ambulatory health care services,3
qc,Bellechasse,,Nursing and residential care facilities,4
qc,Matawinie,,Nursing and residential care facilities,4
qc,Pontiac,,Nursing and residential care facilities,2
qc,Les Pays-d'en-Haut,,Ambulatory health care services,2
nl,Division No.  3,,Hospitals,2
qc,Coaticook,,Ambulatory health care services,2
on,Prescott and Russell,,Hospitals,2
qc,Le Haut-Saint-Laurent,,Nursing and residential care facilities,3
qc,Le Domaine-du-Roy,,Ambulatory health care services,6
on,Manitoulin,,Hospitals,2
ab,Division No.  9,,Hospitals,1
qc,L'Assomption,,Nursing and residential care facilities,4
on,Greater Sudbury / Grand Sudbury,,Nursing and residential care facilities,16
qc,Le Haut-Saint-François,,Ambulatory health care services,7
qc,Les Moulins,,Ambulatory health care services,9
on,Lennox and Addington,,Ambulatory health care services,5
ns,Annapolis,,Hospitals,2
mb,Division No. 16,,Hospitals,3
sk,Division No.  8,,Ambulatory health care services,3
on,Wellington,,Nursing and residential care facilities,28
nb,Carleton,,Hospitals,1
nb,Northumberland,,Hospitals,1
sk,Division No.  9,,Ambulatory health care services,7
qc,Rivière-du-Loup,,Nursing and residential care facilities,4
nb,Kings,,Nursing and residential care facilities,4
on,Dufferin,,Ambulatory health care services,4
nb,Sunbury,,Nursing and residential care facilities,1
qc,Gatineau,,Ambulatory health care services,12
qc,Francheville,,Nursing and residential care facilities,12
sk,Division No.  3,,Nursing and residential care facilities,3
mb,Division No.  5,,Hospitals,5
on,Haldimand-Norfolk,,Hospitals,3
mb,Division No.  7,,Hospitals,6
qc,Memphrémagog,,Ambulatory health care services,4
ab,Division No. 12,,Hospitals,7
qc,Drummond,,Ambulatory health care services,7
sk,Division No. 15,,Ambulatory health care services,14
on,Sudbury,,Ambulatory health care services,6
pe,Prince,,Ambulatory health care services,10
ab,Unknown,,Hospitals,27
bc,Mount Waddington,,Hospitals,4
qc,Arthabaska,,Nursing and residential care facilities,5
qc,Bonaventure,,Hospitals,1
qc,Manicouagan,,Hospitals,3
ab,Division No.  7,,Hospitals,8
qc,Abitibi,,Hospitals,2
on,Perth,,Ambulatory health care services,15
bc,Central Okanagan,,Ambulatory health care services,13
qc,Minganie--Le Golfe-du-Saint-Laurent,,Nursing and residential care facilities,1
pe,Queens,,Hospitals,3
on,Bruce,,Ambulatory health care services,6
qc,Drummond,,Hospitals,3
on,Peterborough,,Ambulatory health care services,15
on,Lennox and Addington,,Nursing and residential care facilities,9
nb,Northumberland,,Nursing and residential care facilities,6
qc,L'Islet,,Nursing and residential care facilities,2
bc,Columbia-Shuswap,,Nursing and residential care facilities,12
mb,Division No. 21,,Hospitals,5
mb,Division No.  2,,Hospitals,3
qc,La Vallée-du-Richelieu,,Ambulatory health care services,4
qc,La Haute-Yamaska,,Ambulatory health care services,10
sk,Division No.  5,,Ambulatory health care services,6
on,Algoma,,Nursing and residential care facilities,16
nl,Division No.  5,,Hospitals,1
nb,Kent,,Nursing and residential care facilities,4
on,Elgin,,Nursing and residential care facilities,13
mb,Division No.  1,,Nursing and residential care facilities,1
bc,Fraser Valley,,Hospitals,6
sk,Division No.  5,,Nursing and residential care facilities,7
qc,La Vallée-de-la-Gatineau,,Nursing and residential care facilities,2
on,Haliburton,,Ambulatory health care services,4
mb,Division No. 11,,Nursing and residential care facilities,2
nb,Restigouche,,Nursing and residential care facilities,3
sk,Division No. 10,,Nursing and residential care facilities,3
bc,Columbia-Shuswap,,Hospitals,3
nb,Gloucester,,Nursing and residential care facilities,8
on,Halton,,Ambulatory health care services,23
ab,Division No. 13,,Hospitals,6
bc,Capital,,Nursing and residential care facilities,110
sk,Division No.  4,,Hospitals,2
qc,Lévis,,Nursing and residential care facilities,8
mb,Division No. 18,,Ambulatory health care services,3
qc,Argenteuil,,Nursing and residential care facilities,1
qc,Unknown,,Hospitals,22
ab,Division No. 16,,Hospitals,2
qc,Le Saguenay-et-son-Fjord,,Hospitals,5
mb,Division No.  9,,Ambulatory health care services,1
qc,La Rivière-du-Nord,,Ambulatory health care services,9
qc,Québec,,Ambulatory health care services,43
qc,L'Érable,,Ambulatory health care services,3
sk,Division No. 12,,Hospitals,4
ns,Annapolis,,Nursing and residential care facilities,5
qc,Shawinigan,,Nursing and residential care facilities,3
on,Haliburton,,Nursing and residential care facilities,3
qc,Thérèse-De Blainville,,Ambulatory health care services,8
bc,Central Okanagan,,Nursing and residential care facilities,32
sk,Division No. 17,,Hospitals,5
qc,Nicolet-Yamaska,,Hospitals,2
on,Ottawa,,Nursing and residential care facilities,111
nl,Division No.  6,,Hospitals,3
nb,,,Hospitals,27
nt,,,Ambulatory health care services,1
nl,,,Nursing and residential care facilities,22
sk,,,Nursing and residential care facilities,124
on,,,Ambulatory health care services,1001
ab,,,Ambulatory health care services,43
nb,,,Ambulatory health care services,13
bc,,,Ambulatory health care services,227
bc,,,Hospitals,102
yt,,,Ambulatory health care services,24
qc,,,Nursing and residential care facilities,603
mb,,,Nursing and residential care facilities,41
sk,,,Hospitals,96
mb,,,Ambulatory health care services,29
pe,,,Nursing and residential care facilities,56
ab,,,Hospitals,141
nl,,,Hospitals,32
ns,,,Nursing and residential care facilities,129
nb,,,Nursing and residential care facilities,130
yt,,,Nursing and residential care facilities,4
ns,,,Hospitals,44
pe,,,Ambulatory health care services,30
nt,,,Hospitals,5
